Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
1,2666,1583,583,500,3250,417,542,4436708,3417,333,1000,1584
10,7083,5834,167,458,3833,83,334,60542,2833,42,584,84
50,238250,181667,375,458,16542,42,417,175333,11667,42,708,84
100,289541,207916,250,458,36417,83,292,238000,8000,83,625,84
250,242250,248417,542,458,38333,125,250,479834,13750,83,708,125
500,359584,1549750,375,292,38500,125,2167,730958,56458,42,1125,84
750,404167,362791,250,458,54083,125,3709,255084,39375,83,666,83
1000,530583,526291,333,209,73458,83,250,331041,51917,83,666,125
2500,1328625,1020667,417,250,210375,125,167,1152875,139292,125,750,166
5000,2654458,1114417,333,750,262750,125,3250,1217667,203125,42,750,208
7500,1783625,1528292,3500,10792,538125,125,1042,911583,298833,42,833,166
10000,2423875,2449125,333,334,709959,166,250,854292,371417,0,583,125
25000,7315125,6465750,375,666,1980583,125,250,2271500,896834,83,666,208
50000,14643458,14383709,958,792,2175834,334,458,3637708,925708,375,2208,375
100000,31940458,35170083,1875,916,1921167,250,584,6538041,320625,125,1334,167
250000,114603583,107545000,3125,833,5068708,875,417,21639375,363000,334,1250,291
500000,257487125,238486708,3292,1208,12352708,833,166,51491542,1166292,541,1500,375
1000000,663124166,631875666,3708,1250,28937583,1000,375,117391041,1957167,167,2000,542
2000000,1529204083,1584111167,3959,1708,67273041,792,2750,561331750,3632833,333,1791,542
4000000,3289251875,2995667875,4292,2667,154088041,1250,5542,3055847417,5948291,625,1667,667
7199369,5649980083,5392884417,4084,1541,271612792,875,2667,8175185041,10868916,500,1709,542
8000000,6686823042,6039155292,4375,2167,304453833,1458,5042,11621896625,12374208,500,2041,542
10000000,7770559333,7470058041,2125,2375,376705584,667,3167,14749062875,24740375,625,3000,667
