Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
1,2708,1583,541,625,3166,416,542,4492125,3333,375,1000,1417
10,7083,5750,250,291,3916,125,291,59708,2916,41,583,125
50,204958,161125,291,333,16500,167,417,191708,10500,41,625,84
100,201958,180875,292,917,33625,83,333,235458,6042,83,666,125
250,278041,191708,250,208,17292,167,250,328500,13667,84,709,84
500,310791,317834,458,291,35833,125,1959,385958,26125,0,750,125
750,432500,398416,291,167,56625,125,209,276500,39167,41,750,83
1000,538583,540292,333,209,75583,125,208,328708,52208,84,750,83
2500,1072166,1004917,4291,500,213875,42,166,662291,128834,84,584,209
5000,2338458,1200792,291,417,265500,125,4417,1175459,204042,83,667,3708
7500,1723042,1684375,708,10167,533292,167,1083,1487208,305750,84,792,84
10000,2539708,2374875,333,292,922125,83,125,862750,408125,125,24125,334
25000,6778500,6006416,209,625,1974709,125,333,2216167,920500,84,625,208
50000,14292042,14720792,1083,917,2091916,41,292,3407208,864750,250,1333,292
100000,34297500,41544416,2250,667,1660959,250,291,6300708,337083,41,1875,333
250000,114440084,98526209,4583,1417,6666334,1041,834,19876333,434125,417,1583,583
500000,281087291,224139000,3375,1250,12018917,375,250,45733459,1070208,709,1542,416
1000000,696848000,633138750,1708,1333,28523500,709,584,116694583,1396042,459,1750,541
2000000,1577852708,1371984166,3708,1833,65093375,667,2292,493225625,4040917,459,1959,500
4000000,3126877125,3090866333,4750,2417,146607209,1291,4916,3190115833,6091375,834,4042,584
7199369,5729726542,5711010084,4541,1833,269948542,958,4667,7936788542,14835833,750,2625,667
8000000,6761553583,6235924167,4708,2000,299643792,1125,5334,11656909000,12444875,625,2542,667
10000000,8031725167,7772543667,6208,1625,448714333,1334,4584,14719002375,20297916,416,2417,625
