Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
1,2708,1667,584,542,3209,417,583,4474334,3292,375,1042,1375
10,7375,5750,250,417,3708,125,334,56625,2750,42,542,84
50,222875,167292,250,291,17500,83,291,175125,12875,41,625,84
100,260208,210875,291,333,28625,83,458,244750,5875,42,625,84
250,228958,185875,166,167,18125,125,208,334916,13666,83,666,125
500,315041,322833,333,417,35375,42,1708,357292,25834,84,708,125
750,437375,421292,375,166,52792,125,375,269667,39167,41,708,208
1000,545667,538958,291,125,74125,125,167,325584,51833,83,625,84
2500,1076875,1084250,417,333,213584,125,167,656000,127125,84,750,208
5000,2346083,1134500,291,167,255542,125,2792,1153500,197375,83,666,208
7500,1498666,1542500,500,10166,541375,167,667,788875,270584,42,542,84
10000,2397625,2395250,250,333,677958,167,83,855708,421958,42,1459,84
25000,7145416,6167292,166,84,2115500,83,250,2211250,923666,42,625,208
50000,14396708,13588459,1958,1542,2370458,292,416,3422500,868958,250,1417,334
100000,30955459,39504459,7625,1709,3210750,250,542,9603333,455625,375,1750,417
250000,114860000,98427292,2708,792,4721625,792,375,18036500,365708,83,1625,459
500000,281526417,219597958,1250,709,12018667,708,375,47220458,1070459,292,2125,375
1000000,585530541,630843875,3833,792,28324417,750,541,120077292,1718166,542,1833,666
2000000,1461733000,1455257875,2084,2583,69241666,833,2209,501234708,4142208,708,2208,542
4000000,3195135334,3082265792,2417,2833,138930375,1458,4292,2956670917,7406209,458,1791,667
7199369,5716486916,5306209458,4292,1916,267944125,1334,4667,8129636667,12051792,792,1917,625
8000000,6605265250,6866800416,7959,8333,315803542,1375,5542,11897871125,15682458,708,2167,667
10000000,7992242125,7683593000,7125,2458,383444542,917,5500,15006670917,18768541,375,2084,1000
