Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
1,2916,1750,583,542,3333,458,584,4501292,4000,375,1125,1667
10,7125,5958,250,250,3958,84,291,58833,3000,83,666,125
50,212708,169291,291,459,17083,83,375,178833,13416,83,625,83
100,221333,189250,250,417,27083,83,250,229583,13541,83,584,125
250,251875,183042,292,250,19125,167,208,371458,13791,83,667,125
500,329917,298083,167,250,36292,125,2042,365709,26125,83,750,167
750,417750,366041,375,375,53834,125,250,273833,39542,83,708,42
1000,542375,547667,458,334,87125,167,208,340250,52041,83,791,83
2500,1069625,1028041,375,417,204500,166,208,648458,127459,83,625,125
5000,3319750,3266042,666,584,243917,166,6959,1161458,204958,84,750,125
7500,1476666,1508416,291,13208,523458,125,250,1540291,305416,83,583,125
10000,2433916,2967792,542,875,708083,167,333,905917,409875,42,1000,333
25000,8760208,7364917,583,709,2241959,167,333,2348750,984750,42,1125,625
50000,18160125,17509625,1709,875,2681750,333,250,3674667,921459,208,1292,375
100000,39499417,37046000,1750,1000,1860000,583,459,6059542,296541,125,1917,417
250000,112258958,95992458,3792,1417,5078709,750,334,20164292,375875,209,1583,250
500000,267382375,240058875,3334,875,11861333,666,500,45733375,1061875,292,1791,250
1000000,609170042,555993750,1375,792,28866375,875,583,117043583,2550416,416,1833,458
2000000,1423018500,1437220834,3833,1416,71242709,1292,5333,652140875,6149584,709,1834,667
4000000,3108714167,3027884458,4417,1583,149677833,917,1959,2978222042,9108875,792,2083,458
7199369,5413141000,5352628208,4458,1625,280329375,709,2750,8158945959,11877000,500,2125,625
8000000,6556104041,6362054250,5459,2792,297445250,1500,5542,11981370916,12014834,833,5250,1000
10000000,8269229834,7787748791,2416,1833,397607208,1125,5083,14861139500,15299709,542,2000,625
